Hurricane,Cost,Year
Milton,34.3,2024
Helene,78.7,2024
Francine,1.3,2024
Debby,2.5,2024
Beryl,7.2,2024
Ida,3.6,2023
Nicole,1.1,2022
Ian,119.6,2022
Fiona,2.7,2022
Nicholas,1.2,2021
Idalia,84.6,2021
Fred,1.5,2021
Elsa,1.4,2021
Eta,1.8,2020
Zeta,5.3,2020
Delta,3.5,2020
Sally,8.8,2020
Laura,28.1,2020
Isaias,5.8,2020
Hanna,1.3,2020
Imelda,6.2,2019
Dorian,2,2019
Michael,31.2,2018
Florence,30,2018
Maria,115.2,2017
Irma,64,2017
Harvey,160,2017
Matthew,13.1,2016
Sandy,88.5,2012
Issac,3.8,2012
Lee,3.5,2011
Irene,18.8,2011
